ticker,reference_high,lowest_after_high,drawdown_pct,current_price,recovery_pct,retracement_pct,error
TEMPSENS.NS,634.85,537.35,15.36,581.3,91.56,45.08,
HONASA.NS,254.86,196.29,22.98,475.65,186.63,476.93,
CELLO.NS,776.59,335.12,56.85,338.9,43.64,0.86,
IREDA.NS,231.51,107.36,53.63,112.57,48.62,4.2,
JIOFIN.NS,309.69,197.88,36.1,230.25,74.35,28.95,
GROWW.NS,193.8,142.11,26.67,195.84,101.05,103.95,
PWL.NS,161.99,77.72,52.02,126.73,78.23,58.16,
URBANCO.NS,201.18,100.7,49.95,164.56,81.8,63.55,
ARDEE.NS,73.19,52.39,28.42,52.62,71.9,1.11,
BLEL.NS,548.0,431.1,21.33,441.6,80.58,8.98,
SHANKESH.NS,111.0,90.11,18.82,98.41,88.66,39.73,
TURTLEMINT.NS,147.28,110.41,25.03,131.84,89.52,58.12,
LGEINDIA.NS,1749.0,1304.1,25.44,1650.0,94.34,77.75,
SBIFUNDS.NS,624.95,536.5,14.15,551.0,88.17,16.39,
PRIORITY.NS,,,,,,,Too new — not enough post-reference data yet
SHIPROCKET.NS,156.9,124.0,20.97,129.17,82.33,15.71,
LOTUSDEV.NS,218.17,102.05,53.22,207.58,95.14,90.88,
KUSUMGAR.NS,629.2,548.0,12.91,566.0,89.96,22.17,
SAILIFE.NS,803.7,636.1,20.85,1591.1,197.97,569.81,
WAAREEENER.NS,2902.09,1860.49,35.89,2546.0,87.73,65.81,
VMM.NS,117.34,95.99,18.19,103.4,88.12,34.71,
