ticker,reference_high,lowest_after_high,drawdown_pct,current_price,recovery_pct,retracement_pct,signal,reason,error
TEMPSENS.NS,634.85,537.35,15.36,581.3,91.56,45.08,No signal,Retracement too weak (45.08% < 65%),
HONASA.NS,254.86,196.29,22.98,475.65,186.63,476.93,No signal,Already overshot old high (476.93% > 110%) — past the entry window,
CELLO.NS,776.59,335.12,56.85,338.9,43.64,0.86,No signal,Retracement too weak (0.86% < 65%),
IREDA.NS,231.51,107.36,53.63,112.57,48.62,4.2,No signal,Retracement too weak (4.2% < 65%),
JIOFIN.NS,309.69,197.88,36.1,230.25,74.35,28.95,No signal,Retracement too weak (28.95% < 65%),
GROWW.NS,193.8,142.11,26.67,195.84,101.05,103.95,SETUP DETECTED,"Drawdown 26.67% >= 15%, Retracement 103.95% in [65-110]%",
PWL.NS,161.99,77.72,52.02,126.73,78.23,58.16,No signal,Retracement too weak (58.16% < 65%),
URBANCO.NS,201.18,100.7,49.95,164.56,81.8,63.55,No signal,Retracement too weak (63.55% < 65%),
ARDEE.NS,73.19,52.39,28.42,52.62,71.9,1.11,No signal,Retracement too weak (1.11% < 65%),
BLEL.NS,548.0,431.1,21.33,441.6,80.58,8.98,No signal,Retracement too weak (8.98% < 65%),
SHANKESH.NS,111.0,90.11,18.82,98.41,88.66,39.73,No signal,Retracement too weak (39.73% < 65%),
TURTLEMINT.NS,147.28,110.41,25.03,131.84,89.52,58.12,No signal,Retracement too weak (58.12% < 65%),
LGEINDIA.NS,1749.0,1304.1,25.44,1650.0,94.34,77.75,SETUP DETECTED,"Drawdown 25.44% >= 15%, Retracement 77.75% in [65-110]%",
SBIFUNDS.NS,624.95,536.5,14.15,551.0,88.17,16.39,No signal,Drawdown too small (14.15% < 15%); Retracement too weak (16.39% < 65%),
PRIORITY.NS,,,,,,,Not evaluated,Too new — not enough post-reference data yet,Too new — not enough post-reference data yet
SHIPROCKET.NS,156.9,124.0,20.97,129.17,82.33,15.71,No signal,Retracement too weak (15.71% < 65%),
LOTUSDEV.NS,218.17,102.05,53.22,207.58,95.14,90.88,SETUP DETECTED,"Drawdown 53.22% >= 15%, Retracement 90.88% in [65-110]%",
KUSUMGAR.NS,629.2,548.0,12.91,566.0,89.96,22.17,No signal,Drawdown too small (12.91% < 15%); Retracement too weak (22.17% < 65%),
SAILIFE.NS,803.7,636.1,20.85,1591.1,197.97,569.81,No signal,Already overshot old high (569.81% > 110%) — past the entry window,
WAAREEENER.NS,2902.09,1860.49,35.89,2546.0,87.73,65.81,SETUP DETECTED,"Drawdown 35.89% >= 15%, Retracement 65.81% in [65-110]%",
VMM.NS,117.34,95.99,18.19,103.4,88.12,34.71,No signal,Retracement too weak (34.71% < 65%),
